"","Area","Item","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020"
"1891","Eastern Africa","Milk, Total",9646524,10101669,12309696,12771624,13714221,14018297,14097314,14390577,15527825,15793291,17388944,16850698,20771548,20525579,19874473,19971116,20664155,20387279,21026231,22148711,23454168
"1892","Eastern Africa","Pulses, Total",3897882,4461079,4958636,4604897,4414910,4714872,5332690,6040079,5944717,6589647,6820274,7398009,8850703,9157462,8859372,9546723,9222376,10029051,9319150,9142933,9309243
"1893","Eastern Africa","Roots and Tubers, Total",37868215,40832404,36557508,37763772,40891035,41629279,43945360,43285240,40256596,44615517,46140999,48175274,50795777,52782490,51243665,51058709,50881426,54135116,62943367,67488382,65387052
"1894","Eastern Africa","Sugar Crops Primary",26795081,28531798,29796057,31380655,31766044,32159665,32951947,28982638,28066158,30691495,32283921,33740455,34868835,37862281,38286031,38075713,37451662,34653593,36129579,37160849,37930207
"1895","Eastern Africa","Treenuts, Total",292441,299166,234505,277107,264824,326152,285617,304636,363403,281954,312193,382071,383886,365637,349969,443389,421430,778408,868524,804386,818360
"1896","Eastern Africa","Vegetables Primary",6094626,6283916,6456464,6913102,6906258,7633588,7885791,8236399,8554116,9458995,10387694,10357404,11238619,12158155,12422380,12809927,13047152,13718635,14214885,14349914,15202653
"1897","Middle Africa","Cereals, Total",4501246,5054037,5205709,5721758,5427993,6427561,6626277,6941451,6979909,7301396,10348783,9041397,9885512,10609468,11232785,11443890,12543504,12517110,13350748,13362558,12808079
"1898","Middle Africa","Citrus Fruit, Total",324231,330333,333045,338013,344482,342329,350492,330616,346824,474917,492250,515176,449697,550620,584202,617022,663548,659039,661441,658845,667573
"1899","Middle Africa","Eggs Primary",37331,37442,37988,38240,38696,39185,39945,39678,40058,43211,44043,44472,44425,44313,40168,41330,39751,41076,39859,40406,40516
"1900","Middle Africa","Fruit Primary",5901060,6013658,6247818,6525388,6787920,7846247,8271318,8814188,9446843,10489287,12751033,13600902,14565891,16164725,18320667,18705968,19254365,19424433,19279860,19378817,19547354
"1901","Middle Africa","Meat, Total",1027623,1058446,1081052,1103573,1150457,1204419,1248101,1305086,1370401,1411551,1459425,1528181,1561615,1631295,1682178,1748223,1785362,1837237,1884786,1942448,1997387
"1902","Middle Africa","Milk, Total",726221,735557,717680,723799,737529,765783,777107,799183,794747,768089,844774,808453,820402,829526,912215,931821,944523,966204,958634,965879,977193
"1903","Middle Africa","Pulses, Total",651017,706756,681917,751385,678229,713605,715876,819818,857690,1042448,1185933,1377369,1208408,1435722,1539639,1616731,1550569,1568782,1595734,1634941,1666071
"1904","Middle Africa","Roots and Tubers, Total",28295071,29157284,29993249,30696353,32381739,34157652,34596014,35989469,36349280,40443535,58527969,61129786,58234300,65622525,58800771,59256692,60433209,62613690,64515580,66012171,66916473
"1905","Middle Africa","Sugar Crops Primary",4475731,4399433,4502334,4587085,4576326,4623275,4329024,4371064,4555302,4857140,5239262,5189444,5178527,5238414,5224867,5350140,5344766,5480128,5519328,5633956,5712536
"1906","Middle Africa","Treenuts, Total",1313,1398,1463,1503,1544,1638,1694,1738,1813,1881,2003,2086,2298,2698,3212,3107,3056,3124,3096,3093,3026
"1907","Middle Africa","Vegetables Primary",2239259,2275048,2350952,2397215,2435395,2611500,2774583,3202418,3494951,3702726,3712047,3896708,4036667,4073123,4306227,4460223,4687857,4820848,4693022,4736541,4789209
