"Year","Country","New_cases","New_deaths","Cumulative_cases","Cumulative_deaths","Cases_100k","Deaths_100k"
2020,"occupied Palestinian territory, including east Jerusalem",154097,1500,154097,1500,2109.83544050468,16.7311242296949
2020,"Oman",128719,1497,128719,1497,2520.62909688636,29.3148778194274
2020,"Other",745,13,745,13,2109.83544050468,16.7311242296949
2020,"Pakistan",477240,10047,477240,10047,216.050959234071,4.54836976662626
2020,"Palau",0,0,0,0,0,0
2020,"Panama",238279,3933,238279,3933,5522.40583966508,91.1520619416849
2020,"Papua New Guinea",780,9,780,9,8.71797972667345,0.100592073769309
2020,"Paraguay",106136,2220,106136,2220,1488.05543054148,31.1250005257601
2020,"Peru",1010496,93066,1010496,93066,3064.72376463241,282.258991504449
2020,"Philippines",472523,9230,472523,9230,431.208542970714,8.42298650355579
2020,"Pitcairn Islands",0,0,0,0,2109.83544050468,16.7311242296949
2020,"Poland",1298021,28641,1298021,28641,3424.94156189057,75.5717752440891
2020,"Portugal",387100,6840,387100,6840,3759.31781055233,66.426592157525
2020,"Puerto Rico",75888,1484,75888,1484,2312.57416491901,45.2226974059115
2020,"Qatar",143621,245,143621,245,4985.00551880211,8.50381456824919
2020,"Réunion",8972,42,8972,42,2109.83544050468,16.7311242296949
2020,"Republic of Korea",60722,900,60722,900,2109.83544050468,16.7311242296949
2020,"Republic of Moldova",143841,3110,143841,3110,2109.83544050468,16.7311242296949
2020,"Romania",627941,15596,627941,15596,3260.75735608739,80.9865444771705
2020,"Russian Federation",3159297,57019,3159297,57019,2192.84248398308,39.5764265259744
2020,"Rwanda",8250,86,8250,86,63.6956985484098,0.66397940305009
2020,"Saba",5,0,19,0,2109.83544050468,16.7311242296949
2020,"Saint Barthélemy",189,0,189,0,2109.83544050468,16.7311242296949
2020,"Saint Helena",0,0,0,0,2109.83544050468,16.7311242296949
2020,"Saint Kitts and Nevis",32,0,32,0,2109.83544050468,16.7311242296949
2020,"Saint Lucia",340,5,340,5,2109.83544050468,16.7311242296949
2020,"Saint Martin",986,12,986,12,2109.83544050468,16.7311242296949
2020,"Saint Pierre and Miquelon",16,0,16,0,2109.83544050468,16.7311242296949
2020,"Saint Vincent and the Grenadines",115,0,115,0,2109.83544050468,16.7311242296949
2020,"Samoa",1,0,1,0,0.504006854493221,0
2020,"San Marino",2401,59,2401,59,7074.66556662149,173.846425835347
2020,"Sao Tome and Principe",1014,17,1014,17,462.673559620553,7.75685454985148
2020,"Saudi Arabia",362601,6214,362601,6214,1041.54186606159,17.8492093394853
2020,"Senegal",18945,402,18945,402,113.145480182968,2.4008700466378
2020,"Serbia",334991,3163,334991,3163,4855.55706621389,45.8463869191547
2020,"Seychelles",226,1,226,1,229.530174077309,1.01562023928013
2020,"Sierra Leone",2583,76,2583,76,32.3806550971326,0.952740916524226
2020,"Singapore",58569,29,58569,29,1030.09124298451,0.510041934240821
2020,"Sint Eustatius",19,0,19,0,2109.83544050468,16.7311242296949
2020,"Sint Maarten",1423,27,1423,27,2109.83544050468,16.7311242296949
2020,"Slovakia",179543,2138,179543,2138,2109.83544050468,16.7311242296949
2020,"Slovenia",119833,2955,119833,2955,5699.76774372758,140.552382755293
2020,"Solomon Islands",17,0,17,0,2.47496644236677,0
2020,"Somalia",4714,130,4714,130,29.6604482704228,0.817958904360407
2020,"South Africa",1039161,28033,1039161,28033,1752.12266532948,47.2662606440979
2020,"South Sudan",3540,64,3540,64,31.6248499494672,0.571748699651385
2020,"Spain",1955212,54436,1955212,54436,4128.10570115304,114.932581197316
2020,"Sri Lanka",43299,204,43299,204,197.54094621105,0.930699393220494
2020,"Sudan",25500,1561,25500,1561,58.1537630650126,3.55992251546998
2020,"Suriname",6098,120,6098,120,1039.48969885823,20.4556844642486
2020,"Sweden",437300,9647,437300,9647,4223.71613227756,93.1767425750779
2020,"Switzerland",451151,7530,451151,7530,5223.73430813492,87.1874812208239
2020,"Syrian Arab Republic",11344,704,11344,704,64.820423598954,4.02270611897599
2020,"Türkiye",2194272,20642,2194272,20642,2109.83544050468,16.7311242296949
2020,"Tajikistan",13665,90,13665,90,143.274406818792,0.943629463131453
2020,"Thailand",6884,61,6884,61,9.86246729189513,0.087392577688205
2020,"The United Kingdom",2564375,75202,2564375,75202,2109.83544050468,16.7311242296949
2020,"Timor-Leste",44,0,44,0,3.33727232597263,0
2020,"Togo",3611,68,3611,68,43.617764400536,0.821381329060218
2020,"Tokelau",0,0,0,0,2109.83544050468,16.7311242296949
2020,"Tonga",0,0,0,0,0,0
2020,"Trinidad and Tobago",7132,126,7132,126,509.613852464932,9.00327333294748
2020,"Tunisia",137216,4620,137216,4620,1161.01561113152,39.0908649386925
2020,"Turkmenistan",0,0,0,0,0,0
2020,"Turks and Caicos Islands",865,6,865,6,2234.10300118808,15.4966682163335
2020,"Tuvalu",0,0,0,0,0,0
2020,"Uganda",35220,304,35220,304,76.998753853217,0.664611617585973
2020,"Ukraine",1055047,18533,1055047,18533,2390.65945023309,41.9944245054201
2020,"United Arab Emirates",206092,665,206092,665,2083.75798754348,6.72369166060018
2020,"United Republic of Tanzania",509,21,509,21,2109.83544050468,16.7311242296949
2020,"United States of America",19581844,352099,19581844,352099,2109.83544050468,16.7311242296949
2020,"United States Virgin Islands",2010,23,2010,23,2109.83544050468,16.7311242296949
2020,"Uruguay",17962,168,17962,168,517.081509283833,4.83630406189087
